Havainnon luotettavuus	Aineiston laatu	Taksonominen järjestys	Laji	Määrä	Aika	Maa	Eliömaakunta	Sijainti	Aineisto	Havaintoerän tunniste	Havainnoija(t)/Kerääjä(t)	Tieteellinen nimi	ETRS-TM35FIN N	ETRS-TM35FIN E	ETRS-TM35FIN N-min	ETRS-TM35FIN N-max	ETRS-TM35FIN E-min	ETRS-TM35FIN E-max	WGS84 WKT
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-12-03 [11:25]	Suomi	Satakunta (St)	Eurajoki.	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1331979	Jaakko Mäki-Jaakkola	Corvus corax	6801428	216047	6801427	6801428	216046	216047	POINT(21.705334 61.24353)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-12-03 [9:50]	Suomi	Satakunta (St)	Rauma. Monnan hautausmaa.	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1331968	Jaakko Mäki-Jaakkola	Corvus corax	6786042	206664	6786041	6786042	206663	206664	POINT(21.555122 61.0991)
COMMUNITY_VERIFIED	AMATEUR	54126	korppi — Corvus corax		2021-12-02	Suomi	Uusimaa (U)	00120 Helsinki, Suomi	Lajitietokeskus/FinBIF - iNaturalist Suomi Finland	http://tun.fi/HR.3211/102600081	Niko Leikola	Corvus corax	6671167	385115	6671166	6671167	385114	385115	POINT(24.92998 60.16121)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-12-02	Suomi	Varsinais-Suomi (V)	Pikisaari	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1331874	Seppo Kallio	Corvus corax	6708546	236230	6707863	6709228	235431	237029	POLYGON((22.213789 60.433395,22.219908 60.425916,22.212861 60.425303,22.204692 60.426879,22.202832 60.426164,22.200978 60.423435,22.20114 60.422829,22.2017 60.42249,22.197171 60.420131,22.192783 60.424758,22.19979 60.431056,22.208585 60.432632,22.213789 60.433395))
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-12-02 [10:45]	Suomi	Satakunta (St)	Rauma. Sampaanala.	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1331885	Jaakko Mäki-Jaakkola	Corvus corax	6786847	202519	6786846	6786847	202518	202519	POINT(21.477337 61.103178)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-12-01 [14:00]	Suomi	Pohjois-Häme (PH)		Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1331701		Corvus corax	6932094	474839	6927096	6937092	469841	479837	POLYGON((26.415098 62.47376,26.413336 62.563478,26.607778 62.564159,26.608956 62.474438,26.415098 62.47376))
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-11-30 [10:20]	Suomi	Varsinais-Suomi (V)	Rauma. Kodisjoki.	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1331513	Jaakko Mäki-Jaakkola	Corvus corax	6780102	215181	6780101	6780102	215180	215181	POINT(21.721294 61.052255)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-11-26	Suomi	Varsinais-Suomi (V)	Fregattikatu 3	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330976	Seppo Kallio	Corvus corax	6708699	235920	6708684	6708714	235895	235944	POLYGON((22.200130034343 60.427788538692,22.200181689478 60.427808393327,22.200102072157 60.4280393864,22.200941728419 60.428083189233,22.200702613491 60.427854183096,22.200130034343 60.427788538692))
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-11-25	Suomi	Uusimaa (U)	Seirlahti	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330784	Peter von Bagh	Corvus corax	6687257	430954	6687256	6687257	430953	430954	POINT(25.750119 60.315981)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	2	2021-11-24	Suomi	Varsinais-Suomi (V)	Pikisaari	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330613	Seppo Kallio	Corvus corax	6708546	236230	6707863	6709228	235431	237029	POLYGON((22.213789 60.433395,22.219908 60.425916,22.212861 60.425303,22.204692 60.426879,22.202832 60.426164,22.200978 60.423435,22.20114 60.422829,22.2017 60.42249,22.197171 60.420131,22.192783 60.424758,22.19979 60.431056,22.208585 60.432632,22.213789 60.433395))
